BIERTYPE;KLASSE;BEGINSGMIN;BEGINSGMAX;SVGMIN;SVGMAX;ABVMIN;ABVMAX;EBCMIN;EBCMAX;EBUMIN;EBUMAX;CO2MIN;CO2MAX;BJCP
Alt;B;1046;1054;75;79;4,5;5;25;40;25;50;4,2;5;7B
American Amber-Red;B;1048;1059;73;78;4,5;6,4;25;50;28;45;4;4,4;19A
American Pale Ale;A;1044;1057;73;81;4,5;6;8;22;20;40;4,2;4,6;18B
Baltic Porter;D;1065;1080;69;84;6,5;9;65;230;25;50;3,7;5,5;12C
Barley Wine (D);D;1080;1120;70;85;8;12;40;100;35;80;2,7;6,4;17D-22C
Barley Wine (GB-USA);C;1088;1120;68;92;8,5;12;15;35;35;70;4;5,4;17D-22C
Berliner Weisse;A;1028;1032;75;78;2,8;3,7;4;8;3;8;5;6,5;23A
Bière de Garde (Ambreé);D;1060;1080;77;88;6;8;25;50;20;30;3,7;5,5;24C
Bitter Blond;A;1045;1052;80;85;4,3;5,6;9;15;30;45;5;6,5;11C
Black IPA (BIPA);D;1060;1075;73;83;6;7,5;60;100;50;70;4,5;6,5;21B
Blond(e);C;1062;1075;80;85;6;7,5;10;25;15;30;4,5;7;25A
Bo(c)kbier;D;1060;1070;75;85;6;7,5;40;90;20;45;4,5;7;5B
Bohemian / Czech Dark Lager;B;1052;1059;72;74;4,5;6;50;90;20;30;4,2;5;3D
Brettanomyces Blond;A;1056;1064;82;90;5,5;7;15;30;35;50;6;7,5;28A
Brown Ale;B;1040;1050;72;78;4;6;50;65;15;30;4,2;4,4;13B
Brut (Méthode Champenoise);C;1074;1106;87;92;9;14;10;20;10;30;8;10;
California Steam ;A;1048;1051;74;75;4,5;5,5;22;35;30;45;4;4,4;19B
Dortmunder Export;A;1048;1056;75;86;5;5,6;7;22;23;30;4,3;4,8;5C
Dortmunder Strong;C;1064;1074;80;85;6,5;7,5;10;26;13;35;4,5;4,5;
Double / Imperial IPA;C;1065;1085;72;78;7,5;10;15;35;60;120;4,2;6,9;22A
Dubbel;D;1060;1072;72;89;6;7,5;40;100;20;30;5;7;26B
Dubbelbock;D;1070;1085;75;85;7,5;8,5;50;100;20;35;4;5;9A
Dunkelweizen;B;1044;1056;70;77;4,3;5,6;45;80;10;15;5,5;7,5;10B
Export Stout;D;1060;1080;73;84;6,5;8,5;115;250;35;80;4;7;16D
Faro;A;1040;1054;75;99;4;5;25;45;6;20;4,5;6;
Fruit / Framboise Lambic;B;1045;1059;73;99;5;6,2;6;40;15;21;4;6;23F
Gose;A;1036;1056;72;77;3,6;4,8;4;15;5;18;;;27
Imperial Red Ale;D;1075;1095;75;85;6,3;10,5;50;95;50;100;4;5,5;22B
India Pale Ale (GB);C;1050;1075;72;78;5;7,5;15;35;40;60;4,2;6,9;12C
India Pale Ale (USA);C;1056;1070;72;78;5,6;7,5;15;35;40;70;4,2;6,9;21A
Irish Dry Stout;B;1036;1050;78;80;4;5;117;124;33;48;4,5;5,5;15B
Irish Red Ale ;A;1036;1048;75;85;4;5,2;25;40;20;30;4,4;5,2;15A
Kölsch;A;1044;1050;83;88;4,5;5,5;6;12;18;25;4,5;5,5;5B
Kriek Lambiek (Oude);B;1045;1059;75;99;5;6,5;6;40;15;24;4;6;23F
Kuit;A;1050;1065;81;87;4,7;7;10;25;25;35;4,7;6,7;
Lichte Dubbelbo(c)k;C;1072;1112;73;83;6,5;10;10;35;16;26;4,2;4,5;17B
Meibo(c)k;C;1060;1074;70;77;6,3;7,4;14;35;20;40;4,4;4,6;4C
Mild Ale (Dark);B;1030;1038;75;80;3,3;4,1;60;140;18;30;3,8;5,3;13A
Milk (Sweet) Stout;B;1041;1059;59;71;3;5;200;450;21;35;4,4;4,4;16A
Münchener Dunkles;B;1048;1052;71;74;4,5;5,5;40;80;20;25;4,4;4,7;8A
Münchener Helles;A;1044;1050;79;86;4,6;5,1;6;9;16;25;4,3;4,7;4A
New England IPA (NEIPA);A;1050;1070;75;88;4,5;6,5;7;17;20;40;;;21B
Oatmeal Stout;B;1045;1065;70;76;4,5;5,5;50;165;20;40;4;6;16B
Oktoberfest;A;1050;1057;76;83;5,7;6,3;7;20;17;22;4,2;5;4B
Old Ale;D;1065;1090;73;88;6;9;40;95;30;50;3,7;5;17B
Ordinary & Best Bitter ;A;1032;1046;71;84;3;5;10;28;25;40;3,5;4,7;11A-11B
Oud Bruin (NL);B;1032;1040;;;2,5;3,5;70;130;8;24;4,4;4,8;
Oude Geuze Lambiek;A;1046;1074;66;92;4,5;8,5;10;30;5;30;6,5;;23D-23E
Pale Ale (GB);A;1044;1049;69;73;4,5;5,6;15;30;30;45;3,5;4,7;11C
Pils(ener);A;1042;1050;76;82;4,4;5;6;10;20;28;4;4,5;5D-3-2A
Pilsener (Urtyp);A;1044;1056;69;73;4,4;5,5;6;14;28;45;3,7;4,5;
Porter;B;1045;1059;72;80;4,5;5,5;50;90;25;40;4;6;13C
Quadrupel;D;1080;1120;75;85;8,5;12;40;90;20;40;5,4;7,5;26D
Russian Imperial Stout;D;1075;1100;68;80;7,5;11;100;300;50;90;3,2;4,5;20C
Saison;A;1035;1053;85;100;4,5;6,5;10;20;20;45;6,5;8;25B
Schwarzbier;B;1046;1052;77;77;4,6;5,2;50;115;22;30;3;5,4;8B
Scotch Ale;D;1065;1090;69;80;6,5;8,6;40;80;25;50;3,7;5,6;
Session India Pale Ale;A;1030;1045;75;90;2,5;5;8;24;35;50;;;
Speciale Belge (Belgische Pale Ale);A;1046;1055;76;84;5;5,5;22;31;15;23;3,7;6;24B
Sterk (Dubbel) Witbier;C;1055;1076;78;82;6;8;10;25;8;16;4,5;6;
Sterke Blonde;C;1070;1095;77;93;7,5;10,5;6;13;22;35;6,5;8,5;25C
Sterke Saison;C;1065;1074;78;100;7,5;9,5;10;35;15;40;6;7,5;
Sterke Vlaamse Bruine;D;1065;1090;75;85;7,5;8,5;50;80;15;30;5;6,5;23C
Tripel;C;1075;1085;73;90;7,5;9,5;10;24;20;40;5,5;7;26C
Vlaams (Oud) Bruin;B;1042;1056;66;81;4;6;50;80;15;35;3,5;4,5;17B
Vlaams Rood;B;1050;1064;70;81;4,6;6,5;50;80;14;20;4,3;5,6;23B
Weizen;A;1046;1057;78;84;4,5;5,9;6;25;10;20;5,5;7,5;10A
Weizen(doppel)bock;D;1066;1080;70;77;6;8;40;80;10;15;5,1;8;10C
Weizenbock (Hell);C;1065;1090;70;80;6,5;9;10;25;6;25;6;7,5;10C
Witbier;A;1042;1045;75;86;4,3;5,5;4;10;9;17;4;6;24A
