Teeltgebied;Soort;Type;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Hallertau;Hallertauer;A;3,8;5,0;4,6;3,3;4,0;2,7;4,3;3,5;3,6;4,1
Hallertau;Hersbrucker;A;3,5;4,5;3,0;1,9;2,1;2,3;2,8;2,3;2,0;2,5
Hallertau;Saphir;A;4,5;5,3;4,4;2,6;3,9;2,5;4,0;3,0;3,3;3,3
Hallertau;Opal;A;8,6;9,7;9,0;5,7;7,3;5,9;7,8;7,2;6,4;7,3
Hallertau;Smaragd;A;7,4;8,0;6,0;4,3;4,7;5,5;6,2;4,5;3,0;5,0
Hallertau;Perle;A;7,5;9,6;8,1;5,4;8,0;4,5;8,2;6,9;5,5;6,7
Hallertau;Spalter Select;A;5,7;6,4;5,1;3,3;4,7;3,2;5,2;4,6;3,5;4,4
Hallertau;Hallertauer Tradition;A;6,5;7,1;6,7;5,0;5,8;4,7;6,4;5,7;5,0;5,4
Hallertau;Mandarina Bavaria;A;;;8,8;7,4;7,3;7,0;8,7;7,3;7,5;7,9
Hallertau;Hallertauer Blanc;A;;;9,6;7,8;9,0;7,8;9,7;9,0;8,8;9,0
Hallertau;Huell Melon;A;;;7,3;5,3;5,4;5,8;6,8;6,2;5,8;6,6
Hallertau;Northern Brewer;A;9,7;10,9;9,9;6,6;9,7;5,4;10,5;7,8;7,4;8,1
Hallertau;Polaris;B;;;20,0;18,6;19,5;17,7;21,3;19,6;18,4;19,4
Hallertau;Magnum;B;13,3;14,9;14,3;12,6;13,0;12,6;14,3;12,6;11,6;12,3
Hallertau;Nugget;B;11,5;13,0;12,2;9,3;9,9;9,2;12,9;10,8;10,1;10,6
Hallertau;Taurus;B;16,3;17,4;17,0;15,9;17,4;12,9;17,6;15,9;13,6;16,1
Hallertau;Herkules;B;16,1;17,2;17,1;16,5;17,5;15,1;17,3;15,5;14,6;16,2
Tettnang;Tettnanger;A;4,0;5,1;4,3;2,6;4,1;2,1;3,8;3,6;3,0;3,8
Tettnang;Hallertauer;A;4,2;5,1;4,7;3,3;4,6;2,9;4,4;4,3;3,8;4,3
Spalt;Spalter;A;3,7;4,8;4,1;2,8;3,4;2,2;4,3;3,2;3,5;3,9
Spalt;Spalter Select;A;5,6;6,4;4,6;3,3;4,5;2,5;5,5;5,2;2,9;4,1
Elbe-Saale;Magnum;B;13,1;13,7;14,1;12,6;11,6;10,4;13,7;12,6;9,3;11,9
Tsjechië;Saazer;A;3,2;4,0;3,8;2,9;2,9;2,1;3,4;3,0;2,9;3,4
Tsjechië;Sladek;A;7,2;7,9;7,0;7,0;6,6;5,0;6,5;6,2;4,3;5,4
Tsjechië;Premiant;A;9,3;9,8;8,5;8,0;7,6;7,0;8,5;7,6;5,1;7,1
Slovenië;Aurora;A;8,3;9,1;8,0;6,1;10,2;8,5;8,7;7,3;8,9;7,8
Slovenië;Savjnski Golding;A;2,7;3,8;2,6;2,1;3,9;2,0;3,4;2,2;3,3;3,1
Slovenië;Bobek;A;4,8;6,0;4,0;2,1;6,4;5,0;4,4;3,5;4,3;4,9
Slovenië;Golding (Celeia);A;4,0;4,1;3,2;2,2;4,7;3,2;3,2;2,8;3,0;3,4
Polen;Lubliner;A;2,6;3,8;4,7;4,3;2,3;3,4;3,2;3,2;2,1;4,6
Polen;Marynka;A;8,2;8,7;7,3;8,3;8,2;8,6;8,1;8,7;6,9;7,8
Polen;Sybilla;A;;;;5,9;5,9;4,5;6,1;5,4;4,1;5,3
